title;author;description;url
The Concise Laws of Human Nature;Robert Greene;The concise edition of the 2019 WINNER OF THE INTERNATIONAL BUSINESS BOOK AWARD  From the million-copy bestselling author of The 48 Laws of Power Robert Greene is a master guide for millions of readers, distilling ancient wisdom and philosophy into essential texts for seekers of power, understanding and mastery. Now he turns to the most important subject of all - understanding people's drives and motivations, even when they are unconscious of them themselves. We are social animals. Our very lives depend on our relationships with people. Knowing why people do what they do is the most important tool we can possess, without which our other talents can only take us so far. Drawing from the ideas and examples of Pericles, Queen Elizabeth I, Martin Luther King Jr, and many others, Greene teaches us how to detach ourselves from our own emotions and master self-control, how to develop the empathy that leads to insight, how to look behind people's masks, and how to resist conformity to develop your singular sense of purpose. Whether at work, in relationships, or in shaping the world around you, The Concise Laws of Human Nature offers brilliant tactics for success, self-improvement, and self-defence.;https://www.google.de/books/edition/The_Concise_Laws_of_Human_Nature/geqQDwAAQBAJ?hl=en&gbpv=0
Steal Like an Artist 10th Anniversary Gift Edition with a New Afterword by ...;Austin Kleon;Celebrate the 10th anniversary of a groundbreaking book on creativity with this limited anniversary hardcover, with a new afterword, color endpapers pulled from Austin Kleon’s sketchbooks, and a ribbon marker.   Ten years after its initial publication, the message of Steal Like an Artist remains powerful: embrace influence, follow interests wherever they take us, forget old clichés like writing about what you know—instead, write the book that you want to read, make the movie you want to watch. And above all, find the space you need to be wild and daring in your imagination and your work.   This 10th anniversary edition includes a new afterword by the author, discussing the book’s influence and how “stealing” has been misunderstood, and offering a unique, personal perspective on a book that’s touched so many.  Unlock your creativitySteal like an artist.Don’t wait until you know who you are to get started.Write the book you want to read.Use your hands.Side projects and hobbies are important.The secret: Do good work and share it with people.Geography is no longer our master.Be nice. (The world is a small town.)Be boring. (It’s the only way to get work done.)Creativity is subtraction.    ;https://www.google.de/books/edition/Steal_Like_an_Artist_10th_Anniversary_Gi/BeBCEAAAQBAJ?hl=en
Why We Sleep: Unlocking the Power of Sleep and Dreams;Matthew Walker;“Why We Sleep is an important and fascinating book…Walker taught me a lot about this basic activity that every person on Earth needs. I suspect his book will do the same for you.” —Bill Gates A New York Times bestseller and international sensation, this “stimulating and important book” (Financial Times) is a fascinating dive into the purpose and power of slumber.Sleep is one of the most important but least understood aspects of our life, wellness, and longevity. Until very recently, science had no answer to the question of why we sleep, or what good it served, or why we suffer such devastating health consequences when we don't sleep. Compared to the other basic drives in life—eating, drinking, and reproducing—the purpose of sleep remained elusive.  An explosion of scientific discoveries in the last twenty years has shed new light on this fundamental aspect of our lives. Now, preeminent neuroscientist and sleep expert Matthew Walker gives us a new understanding of the vital importance of sleep and dreaming. Within the brain, sleep enriches our ability to learn, memorize, and make logical decisions. It recalibrates our emotions, restocks our immune system, fine-tunes our metabolism, and regulates our appetite. Dreaming mollifies painful memories and creates a virtual reality space in which the brain melds past and present knowledge to inspire creativity.  Walker answers important questions about sleep: how do caffeine and alcohol affect sleep? What really happens during REM sleep? Why do our sleep patterns change across a lifetime? How do common sleep aids affect us and can they do long-term damage? Charting cutting-edge scientific breakthroughs, and synthesizing decades of research and clinical practice, Walker explains how we can harness sleep to improve learning, mood, and energy levels; regulate hormones; prevent cancer, Alzheimer’s, and diabetes; slow the effects of aging; increase longevity; enhance the education and lifespan of our children, and boost the efficiency, success, and productivity of our businesses. Clear-eyed, fascinating, and accessible, Why We Sleep is a crucial and illuminating book.;https://www.google.de/books/edition/Why_We_Sleep/ZlU3DwAAQBAJ?hl=en&gbpv=0
The Almanack of Naval Ravikant: A Guide to Wealth and Happiness;Eric Jorgenson;Getting rich is not just about luck; happiness is not just a trait we are born with. These aspirations may seem out of reach, but building wealth and being happy are skills we can learn.So what are these skills, and how do we learn them? What are the principles that should guide our efforts? What does progress really look like?  Naval Ravikant is an entrepreneur, philosopher, and investor who has captivated the world with his principles for building wealth and creating long-term happiness.  The Almanack of Naval Ravikant is a collection of Naval’s wisdom and experience from the last ten years, shared as a curation of his most insightful interviews and poignant reflections.  This isn’t a how-to book, or a step-by-step gimmick. Instead, through Naval’s own words, you will learn how to walk your own unique path toward a happier, wealthier life.  This book has been created as a public service. It is available for free download in pdf and e-reader versions on Navalmanack.com. Naval is not earning any money on this book. Naval has essays, podcasts and more at Nav.al and is on Twitter @Naval.;https://www.google.de/books/edition/The_Almanack_of_Naval_Ravikant/T0FgEQAAQBAJ?hl=en&gbpv=0
Antonio im Wunderland: Roman;Jan Weiler;Der sizilianische Gastarbeiter Antonio Marcipane hat alles erreicht: Er besitzt ein Reiheneckhaus, ein schönes Auto und vier Dutzend Krawatten. Seine Töchter haben deutsche Männer geheiratet, jetzt wartet eigentlich das entspannte Rentnerdasein auf ihn. Wenn da nicht noch ein unerfüllter Traum wäre: Amerika. Und sein Schwiegersohn muss mit.;https://www.google.de/books/edition/Antonio_im_Wunderland/soy1EAAAQBAJ?hl=en&gbpv=0
How to Think Like an Entrepreneur;Philip Delves Broughton;Having the drive, ambition and inspiration to start a new business takes a particular mindset - no wonder we regard successful entrepreneurs as modern-day magic-makers. But what if that spirit and drive were applied outside the world of business startups? An entrepreneur seeks to build something from nothing; to take an inspired idea and make it a reality. How to Think Like an Entrepreneur explores what it takes to be a successful entrepreneur - the ability to disrupt the status quo, use design thinking to generate fresh perspectives, build resilience and leap forward from failure - and ultimately lead us to the heart of great entrepreneurial thinking; an understanding of our deepest human needs. By harnessing the passion, verve and creative thinking of an entrepreneur, you can improve your business and your life and relationships beyond it.;https://www.google.de/books/edition/How_to_Think_Like_an_Entrepreneur/zF_ZCQAAQBAJ?hl=en&gbpv=0
Offene See: Roman;Benjamin Myers;Ausgezeichnet als »Lieblingsbuch der Unabhängigen« 2020! Eine zeitlose und geradezu zärtliche Geschichte über die Bedeutung und Kraft menschlicher Beziehungen Der junge Robert weiß schon früh, dass er wie alle Männer seiner Familie Bergarbeiter sein wird. Dabei ist ihm Enge ein Graus. Er liebt Natur und Bewegung, sehnt sich nach der Weite des Meeres. Daher beschließt er kurz nach dem Zweiten Weltkrieg, sich zum Ort seiner Sehnsucht, der offenen See, aufzumachen. Fast am Ziel angekommen, lernt er eine ältere Frau kennen, die ihn auf eine Tasse Tee in ihr leicht heruntergekommenes Cottage einlädt. Eine Frau wie Dulcie hat er noch nie getroffen: unverheiratet, allein lebend, unkonventionell, mit sehr klaren und für ihn unerhörten Ansichten zu Ehe, Familie und Religion. Aus dem Nachmittag wird ein längerer Aufenthalt, und Robert lernt eine ihm vollkommen unbekannte Welt kennen. In den Gesprächen mit Dulcie wandelt sich sein von den Eltern geprägter Blick auf das Leben. Als Dank für ihre Großzügigkeit bietet er ihr seine Hilfe rund um das Cottage an. Doch als er eine wild wuchernde Hecke stutzen will, um den Blick auf das Meer freizulegen, verbietet sie das barsch. Ebenso ablehnend reagiert sie auf ein Manuskript mit Gedichten, das Robert findet. Gedichte, die Dulcie gewidmet sind, die sie aber auf keinen Fall lesen will. Enthält eine exklusive Leseprobe aus 'Strandgut', dem neuen großen Roman von Benjamin Myers, der am 17. Juni 2025 erscheint!;https://books.google.com/books/about/Offene_See.html?id=p3nADwAAQBAJ&source=kp_book_description&redir_esc=y
Outliers: The Story of Success;Malcolm Gladwell;From the bestselling author of Blink and The Tipping Point, Malcolm Gladwell's Outliers: The Story of Success overturns conventional wisdom about genius to show us what makes an ordinary person an extreme overachiever.Why do some people achieve so much more than others? Can they lie so far out of the ordinary?In this provocative and inspiring book, Malcolm Gladwell looks at everyone from rock stars to professional athletes, software billionaires to scientific geniuses, to show that the story of success is far more surprising, and far more fascinating, than we could ever have imagined.He reveals that it's as much about where we're from and what we do, as who we are - and that no one, not even a genius, ever makes it alone. Outliers will change the way you think about your own life story, and about what makes us all unique.'Gladwell is not only a brilliant storyteller; he can see what those stories tell us, the lessons they contain' Guardian'Malcolm Gladwell is a global phenomenon ... he has a genius for making everything he writes seem like an impossible adventure' Observer 'He is the best kind of writer - the kind who makes you feel like you're a genius, rather than he's a genius' The Times;https://www.google.de/books/edition/Outliers/ialrgIT41OAC?hl=en&gbpv=0
The Psychology of Money: Timeless lessons on wealth, greed, and happiness;Morgan Housel;Doing well with money isn’t necessarily about what you know. It’s about how you behave. And behavior is hard to teach, even to really smart people.Money—investing, personal finance, and business decisions—is typically taught as a math-based field, where data and formulas tell us exactly what to do. But in the real world people don’t make financial decisions on a spreadsheet. They make them at the dinner table, or in a meeting room, where personal history, your own unique view of the world, ego, pride, marketing, and odd incentives are scrambled together.In The Psychology of Money, award-winning author Morgan Housel shares 19 short stories exploring the strange ways people think about money and teaches you how to make better sense of one of life’s most important topics.;https://www.google.de/books/edition/The_Psychology_of_Money/TnrrDwAAQBAJ?hl=en&gbpv=0
12 Months to $1 Million: How to Pick a Winning Product, Build a Real ...;Ryan Daniel Moran;This is the road map to a seven-figure business . . . in one year or less The word "entrepreneur" is today's favorite buzzword, and any aspiring business owner has likely encountered an overwhelming number of so-called "easy paths to success."  The truth is that building a real, profitable, sustainable business requires thousands of hours of commitment, grit, and hard work. It's no wonder why more than half of new businesses close within six years of opening, and fewer than 5 percent will ever earn more than $1 million annually. 12 Months to $1 Million condenses the startup phase into one fast-paced year that has helped hundreds of new entrepreneurs hit the million-dollar level by using an exclusive and foolproof formula.  By cutting out the noise and providing a clear and proven plan, this roadmap helps even brand-new entrepreneurs make decisions quickly, get their product up for sale, and launch it to a crowd that is ready and waiting to buy.  This one-year plan will guide you through the three stages to your first $1 million:   The Grind (Months 0-4): This step-by-step plan will help you identify a winning product idea, target customers that are guaranteed to buy, secure funding, and take your first sale within your first four months.    The Growth (Months 5 - 8): Once you're in business, you will discover how to use cheap and effective advertising strategies to get your product to at least 25 sales per day, so you can prove you have a profitable business.    The Gold (Months 9-12): It's time to establish series of products available for sale, until you are averaging at least 100 sales per day, getting you closer to the million-dollar mark every single day. Through his training sessions at Capitalism.com, Ryan Daniel Moran has helped new and experienced entrepreneurs launch scalable and sustainable online businesses. He's seen more than 100 entrepreneurs cross the seven-figure barrier, many of whom go on to sell their businesses.  If your goal is to be a full-time entrepreneur, get ready for one chaotic, stressful, and rewarding year. If you have the guts to complete it, you will be the proud owner of a million-dollar business and be in a position to call your own shots for life.;https://www.google.de/books/edition/12_Months_to_1_Million/uwO5DwAAQBAJ?hl=en&gbpv=0
Kopf schlägt Kapital: Die ganz andere Art, ein Unternehmen zu gründen;Von ...;Viele glauben zu wissen, wie es geht. Wenige tun es wirklich. Noch weniger sind damit erfolgreich. Etwas ist falsch an der Art, wie wir versuchen Unternehmen zu gründen. Dabei geht es auch ganz anders: Ein Ideen-Kunstwerk schaffen und das eigene Unternehmen aus vorhandenen, jedermann zugänglichen Komponenten zusammensetzen. Den Kopf freihalten für die wichtigen Fragen. Den Horizont im Auge behalten, statt in den Alltagsanforderungen unterzugehen. Nur ein schöner Traum? Keineswegs. Wer heute erfolgreich gründen will, muss sogar so vorgehen. Günter Faltin zeigt an vielen Beispielen, wie jeder ganz praktisch an eigenen Ideen arbeiten kann, sie wie ein Puzzle kombiniert und daraus etwas Neues schafft - das eigene Unternehmen. Je unkonventioneller man denkt, um so besser! Buchhaltung und Rechnungswesen? Sollte ein Gründer denen überlassen, die das schnell, zuverlässig und zu niedrigen Preisen erledigen. Versand, Verpackung und Logistik? Auch dafür gibt es Profis. Günter Faltin lehrt seine Methode seit vielen Jahren - und ist damit sehr erfolgreich: Die von ihm gegründete "Teekampagne" funktioniert nach diesem Modell: Sie hat mehr als 180.000 Kunden, ist das größte Teeversandhaus Deutschlands und der größte Importeur von Darjeeling-Tee weltweit. Eine ganze Reihe weiterer Unternehmen, die im Umfeld des Hochschullehrers entstanden, wenden seine Prinzipien erfolgreich an. Dieses Buch ist die Chance für Menschen mit Ideen, die engagiert sind, die etwas verbessern wollen.;https://www.google.de/books/edition/Kopf_schl%C3%A4gt_Kapital/QrNPAgAAQBAJ?hl=en&gbpv=0
Schnelles Denken, langsames Denken: Thinking Fast and Slow: Der Bestseller ...;Daniel Kahneman;Der Weltbestseller, der das Denken von Millionen Menschen verändert hat - jetzt als hochwertige ErfolgsausgabeDieses Buch hat die Welt erobert und die Art und Weise, wie wir über unser Verhalten nachdenken, revolutioniert. Ein Kompass für den Alltag, ein Handbuch für Entscheider - ein Bestseller, der von einer jüngeren Generation immer wieder aufs Neue entdeckt wird.Wie treffen wir unsere Entscheidungen? Warum ist Zögern ein überlebensnotwendiger Reflex, und warum ist es so schwer zu wissen, was uns in der Zukunft glücklich macht? Daniel Kahneman, Nobelpreisträger und einer der einflussreichsten Wissenschaftler der Gegenwart, zeigt anhand ebenso nachvollziehbarer wie verblüffender Beispiele, welchen mentalen Mustern wir folgen und wie wir uns gegen verhängnisvolle Fehlentscheidungen wappnen können.Der Weltbestseller jetzt in einer hochwertigen Erfolgsausgabe: Eine Million verkaufte Exemplare der deutschsprachigen Ausgabe!;https://www.google.de/books/edition/Schnelles_Denken_langsames_Denken/4tV9qDT0CpoC?hl=en&gbpv=0
Der kleine Garten am Meer: Eine Erzählung darüber, was im Leben wirklich zählt;Claus Mikosch;Willkommen im Garten des Lebens!Niklas, Anfang 30, gerade arbeitslos geworden und irgendwie entwurzelt, entscheidet sich für eine Auszeit in Andalusien. Dort begegnet er Señor Gonzalez, einem alten Gärtner, der seit Jahrzehnten Gemüse auf natürliche Weise anbaut, »immer mit der Natur als Freund und Gehilfe«. Zuerst besucht Niklas den alten Mann hin und wieder, dann hilft er ihm täglich einige Stunden bei der Gartenarbeit. Dabei lernt Niklas nicht nur etwas über den Anbau von Tomaten, sondern vor allem etwas über Gelassenheit und Achtsamkeit. Señor Gonzalez, sein Wissen und seine Weisheit öffnen Niklas die Augen und helfen ihm, sein Leben neu auszurichten.Dieses Buch wurde bereits unter dem Titel »Señor Gonzalez und der Garten des Lebens« veröffentlicht.;https://www.google.com/books/edition/Der_kleine_Garten_am_Meer/TZiRDwAAQBAJ?hl=en&gbpv=0
So Good They Can't Ignore You;Cal Newport;Cal Newport's clearly-written manifesto flies in the face of conventional wisdom by suggesting that it should be a person's talent and skill - and not necessarily their passion - that determines their career path. Newport, who graduated from Dartmouth College (Phi Beta Kappa) and earned a PhD. from MIT, contends that trying to find what drives us, instead of focusing on areas in which we naturally excel, is ultimately harmful and frustrating to job seekers.The title is a direct quote from comedian Steve Martin who, when once asked why he was successful in his career, immediately replied: "Be so good they can't ignore you" and that's the main basis for Newport's book. Skill and ability trump passion. Inspired by former Apple CEO Steve Jobs' famous Stanford University commencement speech in which Jobs urges idealistic grads to chase their dreams, Newport takes issue with that advice, claiming that not only is thsi advice Pollyannish, but that Jobs himself never followed his own advice.From there, Newport presents compelling scientific and contemporary case study evidence that the key to one's career success is to find out what you do well, where you have built up your 'career capital,' and then to put all of your efforts into that direction.;https://www.google.de/books/edition/So_Good_They_Can_t_Ignore_You/g13ZDAAAQBAJ?hl=en&gbpv=0
Contagious: Why Things Catch On;Jonah Berger;The New York Times bestseller that explains why certain products and ideas become popular.  “Jonah Berger knows more about what makes information ‘go viral’ than anyone in the world.” —Daniel Gilbert, author of the bestseller Stumbling on HappinessWhat makes things popular? If you said advertising, think again. People don’t listen to advertisements, they listen to their peers. But why do people talk about certain products and ideas more than others? Why are some stories and rumors more infectious? And what makes online content go viral? Wharton marketing professor Jonah Berger has spent the last decade answering these questions. He’s studied why New York Times articles make the paper’s own Most E-mailed list, why products get word of mouth, and how social influence shapes everything from the cars we buy to the clothes we wear to the names we give our children. In Contagious, Berger reveals the secret science behind word-of-mouth and social transmission. Discover how six basic principles drive all sorts of things to become contagious, from consumer products and policy initiatives to workplace rumors and YouTube videos. Learn how a luxury steakhouse found popularity through the lowly cheesesteak, why anti-drug commercials might have actually increased drug use, and why more than 200 million consumers shared a video about one of the most boring products there is: a blender. Contagious provides specific, actionable techniques for helping information spread—for designing messages, advertisements, and content that people will share. Whether you’re a manager at a big company, a small business owner trying to boost awareness, a politician running for office, or a health official trying to get the word out, Contagious will show you how to make your product or idea catch on.;https://www.google.de/books/edition/Contagious/uyEODAAAQBAJ?hl=en&gbpv=0
